Icon;Name_ESP;Name_ENG;Desc_ESP;Desc_ENG;Effect;Amount
10;Remedio hecho a mano;Handmade remedy;Seguir la receta era sencillo para Aunia, en su mente tenía miles de ideas para poder curar diferentes aflicciones. Lo complejo en este lugar era encontrar ingredientes. O más bien, averiguar que hacen cada uno. La flora y la ya extinta fauna del entorno eran ligeramente similares a los de su hogar pero con muchos pequeños cambios que, con el paso de los años, fue averiguando. Después de mucho ensayo y error logró destilar un ámbar cristalino que calmaba hasta los peores temores.;Following the recipe was simple for Aunia, in her mind she had thousands of ideas to be able to cure different afflictions. The complex thing in this place was finding ingredients. Or rather, finding out what each one does. The flora and the now extinct fauna of the environment were slightly similar to those of her home but with many small changes that, over the years, she was figuring out. After much trial and error he managed to distill a crystalline amber that calmed even the worst fears.;4;3
11;Taza caliente;Hot cup;La pequeña taza de cerámica acompañaba a Aunia desde siempre, fue una de las pocas cosas que le permitieron tener en la Stillness (de las muchas que pidió). Incluso con el paso de los años, seguía manteniendo el calor de su contenido y resistiendo las inclemencias del uso. Cualquier cosa que se calentara en ella era el doble de revitalizante.;The small ceramic mug accompanied Aunia since always, it was one of the few things she was allowed to have in the Stillness (of the many she asked for). Even over the years, it still held the warmth of its contents and withstood the harshness of use. Anything warmed in it was twice as revitalizing.;4;2
12;Chupito relajante;Soothing shot;No era exactamente alcohol, Aunia nunca fue aficionada a ese vicio. Era una de las muchas pérdidas de tiempo que consumía a sus antiguos compañeros y, por ello, nunca prestó atención a todo lo referente a dichas bebidas. Pero la soledad hace mucho y después de perder a su primera mascota en su retiro, decidió experimentar y probar a destilar algunas frutas. El resultado fue satisfactorio. Una bebida relajante, a veces incluso demasiado.;It wasn't exactly alcohol, Aunia was never fond of that vice. It was one of the many time wasters that consumed her former companions and so she never paid attention to anything about such drinks. But loneliness does a lot and after losing her first pet in her retirement, she decided to experiment and try distilling some fruits. The result was satisfactory. A relaxing drink, sometimes even too much.;4;2
13;Píldoras caducadas;Expired pills;Las pastillas nunca fueron algo que Aunia aceptase del todo, algo irónico teniendo en cuenta su anterior trabajo. La fecha de caducidad está algo borrosa pero, al menos el año, pasó hace mucho. Tanto que ya ni Aunia usa ese sistema de medir el tiempo. El efecto, antaño, era potente, ahora mismo solo valen para calmar un poco los nervios.;Pills were never something Aunia fully embraced, somewhat ironic considering her previous job. The expiration date is a bit blurry but, at least the year, it's long gone. So much so that Aunia doesn't even use that system of measuring time anymore. The effect, in the past, was powerful, nowadays they are only good to calm the nerves a little bit.;4;1
14;Jarabe dulce;Sweet syrup;Cuando Aunia era pequeña (hace tanto tiempo) le encantaba el jarabe dulce. A veces incluso se alegraba de estar enferma para poder tomarlo. El jarabe que tiene ahora poco o nada se asemeja a aquello pero el simple recuerdo de tomarlo ya ayuda a serenar la mente.;When Aunia was little (so long ago) she loved sweet syrup. Sometimes she was even glad she was sick so she could drink it. The syrup she has now bears little or no resemblance to that but the simple memory of drinking it already helps to calm the mind.;4;1
15;Cría seca;Dry Brood;Durante algunas etapas de la dura supervivencia a la que tuvo que enfrentarse Aunia en este lugar al llegar, la peor parte era alimentarse. En ocasiones encontraba nidos abandonados que algunos extraños animales habían dejado a su suerte. Las crías, en dichas ocasiones, rara vez sobreviven a este evento. Son una alta fuente de nutrientes pero Aunia prefiere no volver a esas costumbres.;During some stages of the harsh survival Aunia had to face in this place upon arrival, the worst part was feeding. Occasionally she would find abandoned nests that some strange animals had left to their fate. The young, on such occasions, rarely survive this event. They are a high source of nutrients but Aunia prefers not to return to those habits.;3;2
16;Brote sin tratar de Caliope;Untreated outbreak of Calliope;El tiempo avanzó rápido cuando llegaron aquí. Los años se acumulaban y pese a que lograron encontrar fuertes fuentes de alimento, existían etapas duras donde apenas tenían nada. En una de esas etapas, Ivhan decidió probar si la Caliope podría ser una fuente de alimento decente. No lo era.;Time moved quickly when they arrived here. The years were piling up and despite the fact that they managed to find strong food sources, there were hard stages where they barely had anything. In one of those stages, Ivhan decided to test if the Calliope could be a decent food source. It wasn't.;3;2
17;Matraz reconstituyente;Restorative flask;En cuanto la Stillness aterrizó en este lugar Elbura no tardó ni un día en empezar a desarrollar medicinas para cuidar la salud de todos. En un ecosistema nuevo y hostil como este era de esperar que necesitarán cuidados. Durante los siguientes años creó un sinfín de ungüentos inservibles y mezclas infernales. Después de tantas pruebas al fin dió con algo útil. El auge de sus creaciones. Le regaló a Aunia algunos frascos antes de irse.;As soon as the Stillness landed in this place Elbura didn't take a day to start developing medicines to take care of everyone's health. In a new and hostile ecosystem like this it was to be expected that they would need care. Over the next few years he created countless useless ointments and infernal mixtures. After so many tests he finally came up with something useful. The boom of his creations. He gave Aunia some vials before leaving.;2;3
18;Lata sellada con nutrientes;Can sealed with nutrients;Igual que muchos otros alimentos que estaban almacenados en la Stillenss, las latas estaban acompañadas de diferentes químicos para proteger su contenido y hacer que durase muchos años sin estropearse. Algunas de esas latas tienen más propiedades que otras.;Just like many other foods that were stored in the Stillenss, the cans were accompanied by different chemicals to protect their contents and make them last for many years without spoiling. Some of these cans have more properties than others.;2;2
19;Bote de pastillas;Jar of pills;Aunia siempre ha confiado en la ciencia, más le vale después de todo. Eso no quiere decir que no se haga las preguntas pertinentes, es una persona curiosa, es por eso que está aquí. Pero sabe que a veces se debe confiar en un bote desconocido por el bien de la salud.;Aunia has always trusted science, she had better after all. That doesn't mean that she doesn't ask pertinent questions, she's a curious person, that's why she's here. But she knows that sometimes you have to trust an unknown pot for the sake of your health.;2;2
20;Remedio pasivo de Elbura;Elbura Passive Remedy;Entre la larga lista de medicamentos que Elbura intentó desarrollar al llegar aquí se encuentra el remedio pasivo. Su intención era crear un antibiótico capaz de sanar heridas de forma rápida, en su lugar logró crear un líquido que ayuda a cicatrizar los cortes. Cuando Aunia se separó del grupo aún intentaba mejorarlo.;Among the long list of medicines Elbura tried to develop when he arrived here was the passive remedy. His intention was to create an antibiotic capable of healing wounds quickly, instead he succeeded in creating a liquid that helps heal cuts. When Aunia separated from the group he was still trying to improve it.;2;1
21;Hongos de pared;Wall fungus;Prueba y error. Es la forma más fácil de encontrar algo nuevo. También es la forma más fácil de terminar muerto. Aunia tuvo que hacer muchas pruebas y error, y en muchas de ellas estuvo al borde de la muerte. En las que no lo estuvo logró encontrar cosas como estos hongos. Una fuente rica de nutrientes y vigorizantes.;Trial and error. It's the easiest way to find something new. It's also the easiest way to end up dead. Aunia had to do a lot of trial and error, and in many of them she was on the verge of death. In the ones she wasn't she managed to find things like these mushrooms. A rich source of nutrients and invigorators.;2;1
22;Corazón de Zarasklip;Heart of Zarasklip;Aunia se pasó años cultivando los Zarasklip hasta que encontró la forma correcta de alimentarse de ellos. El truco estaba en dejar de comer la carne de la fruta y comer solo el corazón. Por más que lo intentaba, la carne y la cáscara del duro fruto le provocan vómitos. Pero el corazón crudo, aparte de tener buen sabor, sentía que la rejuvenecía.;Aunia spent years cultivating the Zarasklip until she found the right way to feed on them. The trick was to stop eating the flesh of the fruit and eat only the heart. Try as she might, the flesh and peel of the tough fruit made her vomit. But the raw core, apart from tasting good, she felt it rejuvenated her.;2;1
23;Restos de pruebas;Remnants of evidence;No todo lo que Elbura creó tenía una aplicación totalmente útil. Una vez intentando crear un ungüento para curar roces terminó por descubrir un nuevo tipo de cemento que Enneges usó para construir unas casas. Aunia sabía que no tenía que hacer de conejillo de indias siempre en sus experimentos.;Not everything Elbura created had an entirely useful application. Once trying to create an ointment to heal scrapes she ended up discovering a new type of cement that Enneges used to build some houses. Aunia knew she didn't always have to be a guinea pig in her experiments.;1;2
24;Pesticida;Pesticide;Kara descubrió por accidente este potente pesticida. En los primeros años tuvieron que luchar contra interminables problemas, los insectos uno de ellos. Kara tenía un terrario en el cual trataba de entender el comportamiento de algunos. No siempre supo alimentarlos correctamente.;Kara discovered by accident this powerful pesticide. In the first years they had to fight endless problems, insects being one of them. Kara had a terrarium in which she tried to understand the behavior of some of them. She did not always know how to feed them correctly.;1;1
25;Té tranquilizador;Soothing tea;Aunia nunca había sabido apreciar el té. No es que no le gustase, es que simplemente no diferenciaba entre uno u otro. Pero pasar tantos años sola le hizo abrir su mente a muchas cosas, disfrutar de los pequeños sabores era una de ellas. Relajarse y tomarse una taza de té caliente ahora era de los mayores placeres que podía experimentar.;Aunia had never been able to appreciate tea. It wasn't that she didn't like it, it was that she simply didn't differentiate between one or the other. But spending so many years alone made her open her mind to many things, enjoying the small tastes was one of them. Relaxing and having a cup of hot tea was now one of the greatest pleasures she could experience.;8;3
26;Corteza de rábano de tierra;Earth radish bark;No era exactamente un rábano propiamente dicho pero Kara decidió llamarlos así cuando empezó a plantarlos. La corteza era igual de comestible que el interior con la ventaja de que no era necesaria de cocinar. Produce un efecto ligeramente alucinógeno que acelera todo tu cuerpo. Es mejor no ingerir muchas a la vez.;It wasn't exactly a proper radish but Kara decided to call them that when she started planting them. The bark was just as edible as the inside with the advantage that it was not necessary to cook. It produces a slightly hallucinogenic effect that speeds up your whole body. It is best not to ingest too many at once.;8;2
27;Cenizas de Lamango;Lamango ashes;Los Lamango eran unas pequeñas y confiadas criaturas que vivían en las orillas de los ríos. Por mucho que Aunia lo intentó, nunca logró cocinarlas de ninguna manera para volver su sabor agradable. Si que fue capaz de crear, junto a algunos productos extra, un polvo que al inhalar producía un efecto de despertar. Cuando se lo contó a Caciero, éste se enfadó tanto que decidió dejar de traer Lamangos para cocinarlos.;Lamango were small, trusting creatures that lived on the banks of rivers. As much as Aunia tried, she never managed to cook them in any way to make them taste pleasant. She was, however, able to create, along with some extra products, a powder that when inhaled produced an awakening effect. When she told Caciero about it, he became so angry that he decided to stop bringing Lamangos to cook them.;8;2
28;Barra concentrada medicinal;Concentrated medicinal bar;El propósito original de estas barras era tratar diferentes dolencias que pudiesen sufrir los integrantes de la Stillness. La idea era que en lugar de necesitar 5 o 6 medicamentos diferentes el paciente se tomaba una barra concentrada y curaba todos sus males. El problema es que no hubo tiempo de hacer demasiadas pruebas de su uso y lo único que lograban hacer correctamente era mantener despierto a quienes las comen. Aunia sabe por experiencia que si comes más de diez seguidas es altamente probable que tengas que vaciar con urgencia el contenido de tu estómago.;The original purpose of these bars was to treat different ailments that the members of the Stillness might suffer from. The idea was that instead of needing 5 or 6 different medicines, the patient would take a concentrated bar and cure all his ailments. The problem is that there was no time to do too many tests of their use and the only thing they managed to do correctly was to keep awake those who ate them. Aunia knows from experience that if you eat more than ten in a row it is highly probable that you will have to urgently empty the contents of your stomach.;8;1
29;Bebida de Enneges;Enneges's drink;Enneges solía pasar largas noches en vilo trabajando en sus construcciones. Decía que era de vital importancia tener los refugios acabados lo antes posible. Creó una mezcla de color cobre que le ayudaba a mantenerse despierto. De los efectos secundarios nunca decía nada.;Enneges used to spend long nights on his feet working on his constructions. He said it was vitally important to have the shelters finished as soon as possible. He created a copper-colored mixture that helped him stay awake. He never said anything about the side effects.;8;1
30;Parásitos de Caliope;Caliope's parasites;A veces era posible ver unos extraños parásitos moverse por las flores de Caliope. El grupo nunca llegó a estar seguro de si esos parásitos se desarrollaron durante los años de viaje o al llegar aquí. Una vez Ivhan (quien si no) decidió cocinar uno. Se pasó dos días en cama. Por suerte al despertar parecía no tener secuelas.;It was sometimes possible to see strange parasites moving around the flowers of Calliope. The group was never quite sure if these parasites developed during the years of travel or upon arrival here. Once Ivhan (who else) decided to cook one. He spent two days in bed. Luckily when he woke up he seemed to have no sequelae.;7;2
31;Cartón de leche ancestral;Ancestral milk carton;Si, la palabra es ancestral. Dejó de ser leche hace mucho. En una ocasión Aunia estuvo tan desesperada que tuvo que consumir uno de estos productos. Por suerte encontró un lugar seguro donde descansar antes de caerse desmayada.;Yes, the word is ancestral. It stopped being milk a long time ago. Once Aunia was so desperate that she had to consume one of these products. Luckily she found a safe place to rest before falling down passed out.;7;1
32;Fruto del árbol Yarkt;Fruit of the Yarkt tree;Aunia odiaba su sabor, era de las peores cosas que tenía este sitio, con diferencia. Pero era un reconstituyente maravilloso. Kara descubrió por accidente este árbol muy al norte de la meseta, más allá de donde Enneges siempre les decía que era seguro ir. Y Enneges tenía razón, eso lo supieron mucho después. Kara trajo algunas semillas de Yarkt de la apresurada expedición que hizo. Con una sola fruta podrías sentirte lleno varios días.;Aunia hated the taste of it, it was one of the worst things this place had by far. But it was a wonderful restorative. Kara discovered this tree by accident far north of the plateau, beyond where Enneges always told them it was safe to go. And Enneges was right, they learned that much later. Kara brought back some Yarkt seeds from the hurried expedition she made. With just one fruit you could feel full for several days;10;3
33;Patata cruda;Raw potato;"El nombre de ""patata"" era simplemente por cariño. Esto no tenía nada que ver con las patatas que el grupo tenía en su hogar. Pero por fuera eran muy similares, crecían totalmente bajo tierra y eran casi igual de duras que las patatas. La diferencia estaba en el sabor, eran muy picantes. Se podían consumir crudas y dotaban de fuerza a las extremidades. Enneges bromeaba diciendo que con un estofado de patatas podría construir una casa en un solo día. Nunca aclaró a qué patatas se refería.";The name “potato” was simply out of affection. This had nothing to do with the potatoes the group had at home. But on the outside they were very similar, they were grown entirely underground and were almost as hard as potatoes. The difference was in the taste, they were very spicy. They could be eaten raw and gave strength to the limbs. Enneges joked that with a potato stew he could build a house in a single day. He never clarified which potatoes he was referring to.;10;2
34;Jarra con petróleo comestible;Pitcher with edible oil;De las primeras cosas que tuvieron que hacer al llegar al nuevo hogar fue buscar combustible. Era obvio que las máquinas no se podrían mantener solo con la energía que producía la Stillness. Fue Kara, en una de sus expediciones, quien descubrió el petróleo. Lo llamó así para ahorrar tiempo. No solo era una fuente impresionante de energía para las máquinas, también lo era para ellos. Resultó ser comestible y para sorpresa de Aunia incluso tenía buen sabor, algo extraño en este lugar.;One of the first things they had to do when they arrived at the new home was to look for fuel. It was obvious that the machines could not be maintained by the energy produced by the Stillness alone. It was Kara, on one of her expeditions, who discovered oil. She called it that to save time. Not only was it an impressive source of energy for the machines, it was an impressive source of energy for them. It turned out to be edible and to Aunia's surprise it even tasted good, something strange in this place.;10;1
35;Lanzallamas;Flamethrower;Aunia necesitará esto cuando llegue al final del viaje.;Aunia will need this when she reaches the end of the journey.;1;1
